GERMAN,ENGLISH
jeder,everyone
kam,came
sofort,instantly
getan,did
fertig,finished
kennen,know
einmal,once
sohn,son
halten,keep
dabei,included
hatten,had
männer,Men
kind,child
jahren,years
beim,at the
seinen,his
mag,like
komme,come
allein,alone
bevor,before
bruder,brothers
musik,music
wahr,TRUE
konnte,could
lieber,rather
uhr,clock
kopf,head
sache,Thing
gern,gladly
denken,think
brauche,need
ende,end
später,later
gehe,go
vergessen,forget
runter,down
fahren,drive
sieh,see
warst,were
stadt,city
namen,names
problem,problem
sehe,see
augen,eyes
gab,gave
dank,thanks to
sage,legend
würden,would
eins,one
daran,to it
dazu,to
egal,no matter
frage,ask
weit,far
familie,family
sterben,die
könnten,could
jungs,guys
jeden,every
minuten,minutes
verstehe,understand
deiner,yours
hilfe,Help
beide,both
bald,soon
all,Alles
deinem,yours
nimm,take
kleine,small
baby,infant
glück,luck
freunde,friends
wusste,knew
verrückt,crazy
ruhig,calm
land,country
darüber,about that
gefunden,found
tür,door
mache,make
seiner,his
wasser,water
auto,automobile
sah,saw
dies,this
eigentlich,actually
eure,your
ruhe,Quiet
stehen,stand
hand,hand
ihrer,of their
frauen,women
meinst,mean
töten,kill
fall,case
ging,went
polizei,police
vorbei,over
krieg,war
je,ever
darauf,thereon
vielen,many
letzte,last
lang,long
bisschen,a little
dran,your turn
hoch,high
kenne,know
fast,nearly
ganzen,entire
schau,look
sogar,even
spielen,to play
wurden,became
hinter,Behind
teufel,devil
dinge,things
keiner,none
mama,mummy
spät,late
bekommen,to get
oben,above
name,Surname
hört,hears
hätten,had
bereit,ready
drin,inside
neue,new
kommst,come
woher,where from
ihrem,her
wagen,dare
arbeiten,work
verstehen,to understand
jahr,year
tod,death
etwa,about
echt,real
seinem,his
geschichte,story
bringt,brings
braucht,needs
treffen,meeting
toll,Great
gerne,gladly
draußen,outside
fünf,five
lhnen,you
zimmer,room
job,job
nett,kind
weiss,White
the,the
spiel,game
verstanden,Roger that
miss,miss
große,size
anders,different
sorgen,worries
welche,Which
einzige,only
art,art
liegt,lies
verloren,lost
ahnung,idea
vier,four
alter,Age
gekommen,came
jemanden,someone
gehst,go
woche,week
kerl,Guy
hi,Hi
john,John
gestern,yesterday
wenig,little
bestimmt,definitely
kurz,short
überhaupt,at all
finde,find
darum,therefore
tage,days
erste,first
schwester,sister
schwer,difficult
suchen,Looking for
bleibt,remains
tochter,daughter
typ,Type
guter,goods
gewesen,been
grund,ground
zeigen,demonstrate
film,Movie
schlecht,bad
schatz,sweetheart
deshalb,for this reason
holen,to fetch
hoffe,hope
tu,do
sagst,say
bett,bed
muß,got to
seite,page
gefällt,pleases
eben,even
lasst,leaves
gefallen,favor
stunden,hours
herz,heart
wohin,where
trinken,drink
letzten,last
mensch,person
ersten,first
n,n
unten,below
gesicht,face
versuchen,to attempt
wort,word
denen,those
verlassen,leaving
endlich,at last
denkst,think
solltest,should
schlafen,sleep
ziemlich,quite
jack,Jack
dollar,dollar
arsch,ass
manchmal,sometimes
fest,Celebration
wiedersehen,see you again
beste,best
kleinen,small
kriegen,get
läuft,runs
wahrheit,truth
zwischen,in between
niemals,No way
bring,bring
unserer,ours
nehme,take
allen,everyone
während,while
glaubst,believe
ding,thing
idee,idea
wollten,wanted to
lässt,leaves
musste,had to
sachen,stuff
ah,ah
bleib,stay
kleiner,smaller
euer,your
nummer,number
sondern,but
frei,free
oft,often
entschuldigung,Sorry
wen,whom
ernst,serious
alte,old
schule,school
ort,location
erzählt,told
anderes,other
new,new
alt,old
chance,chance
einige,some
bloß,just
entschuldigen,to apologize
setzen,put
bedeutet,means
erzählen,tell
feuer,Fire
pass,passport
würdest,would
schuld,fault
dad,dad
getötet,killed
jungen,boys
drauf,on it
platz,space
wären,would be
tust,do
papa,father
spaß,fun
versucht,tries
wichtig,important
besten,best
sorge,worries
kennst,know
lst,lst
hund,dog
blut,blood
hierher,here
reicht,enough
alten,old
wär,would be
glücklich,happy
brauchst,need
hände,hands
unseren,ours
hättest,would have
kaum,hardly
rede,speech
zuerst,first
stellen,place
beiden,both
falls,if
früh,early
wartet,waits
neuen,new
sechs,six
jede,every
freundin,friend
i,i
lieben,love
teil,part
stunde,hour
langsam,slow
scheint,seems
früher,previously
großen,huge
waffe,weapon
telefon,phone
himmel,heaven
lernen,to learn
you,you
äh,ah
zehn,ten
gedacht,thought
willkommen,welcome
frank,frank
luft,air
licht,light
hol,get
seht,look
menge,amount
voll,full
überall,all over
tat,did
erde,earth
gebe,give
a,a
ruf,call
möglich,possible
spricht,speaks
könig,king
eltern,parents
außer,except
nächsten,next
ziehen,draw
wahrscheinlich,probably
wollt,want
dürfen,allowed to
nennen,to name
falsch,not correct
ehrlich,honest
irgendwas,anything
nächste,next
wochen,weeks
meines,mine
herren,Men's
straße,road
hm,Hm
heiraten,marry
stück,piece
sam,Sam
doktor,doctor
neues,new
gegeben,given
kaffee,coffee
möchten,want
verstehst,understand
krank,Sick
danach,thereafter
geworden,become
arzt,doctor
schaffen,create
stelle,Job
groß,big
wem,whom
hölle,hell
völlig,fully
weh,sore
s,s
fehler,mistake
drüben,over there
harry,Harry
büro,office
captain,captain
rufen,call
irgendwie,somehow
eigenen,own
probleme,problems
allem,everything
mr,Mr
wert,value
tue,do
buch,a book
lebt,lives
scheiß,shit
kaufen,to buy
erinnern,recall
direkt,direct
laufen,to run
george,George
trotzdem,Nevertheless
schreiben,write
still,quiet
kleines,small
körper,body
retten,rescue
fand,found
unserem,our
solche,such
denkt,thinks
könnt,can
ln,ln
alleine,alone
sitzen,sit
höre,hear
millionen,millions
tagen,meet
york,York
suche,seek
vergiss,forget
gutes,good
leider,unfortunately
sagten,said
typen,types
schlüssel,key
tragen,wear
mund,mouth
worden,been
hält,holds
zwar,that is
bereits,already
leicht,easy
spielt,plays
schiff,ship
hörst,hear
lhren,yours
onkel,uncle
glaub,believe
verlieren,to lose
großer,greater
klingt,sounds
irgendwo,somewhere
zukunft,future
kennt,knows
plan,plan
schöne,lovely
verschwinden,disappear
interessiert,Interested
waffen,weapons
kämpfen,battle
party,party
bringe,bring
hinten,rear
setz,set
kumpel,Dude
wolltest,wanted
boden,ground
general,general
zeig,show
böse,angry
halte,hold
gegangen,gone
richtige,right one
liebling,Darling
acht,eight
froh,joyful
machte,made
jedes,each
hart,hard
vorsichtig,careful
joe,joe
versuch,experiment
getroffen,met
mögen,to like
zeug,things
damals,back then
stimme,voice
gefühl,feeling
leuten,people
lesen,read
mist,damn
zug,train
hattest,had
verdammte,damn
geschäft,shop
arschloch,asshole
rest,rest
mom,Mom
de,en
aufhören,stop
könntest,could
klasse,class
lasse,let
boss,boss
erklären,to explain
fliegen,to fly
laden,load
stolz,proud
stark,strong
hasse,hate
wohnung,flat
gebracht,brought
fort,away
genauso,just like that
mai,May
entschuldige,Excuse me
besonders,especially
seien,be
tages,day
weniger,fewer
zieh,draw
ärger,trouble
fühle,feel
schauen,watch
idiot,idiot
o,O
schneller,more quickly
denk,think
geschafft,made
verzeihung,forgiveness
daddy,dad
charlie,charlie
tja,well
schicken,send
erwartet,expected
nachricht,news
findet,finds
funktioniert,is working
werd,will
stand,was standing
traum,dream
sollst,should
t,t
fallen,fall
wovon,About what
gefängnis,jail
aufs,onto
hotel,hotel
krankenhaus,hospital
umbringen,kill
fällt,falls
redest,talk
weisst,you know
gottes,god
total,total
fenster,window
lebens,life
glaubt,believes
vorstellen,introduce
and,other
sinn,sense
ändern,change
versuche,tries
heraus,out of here
heißen,mean
tanzen,dance
monate,months
lachen,laugh
kampf,struggle
nachdem,after this
arm,poor
wenigstens,at least
geschehen,happen
hörte,heard
kamen,came
passt,fits
liebt,loves
folgen,follow
eher,rather
gefragt,asked
dumm,stupid
deswegen,because of this
solange,so long
lustig,fun
starb,died
unmöglich,impossible
bild,image
boot,boat
genommen,taken
dame,lady
führen,to lead
unglaublich,unbelievable
vertrauen,trust
verletzt,hurt
passieren,happen
cool,cool
meisten,most
tom,tom
vorher,before
plötzlich,suddenly
angerufen,called
bewegung,Move
kümmern,To take care of
rüber,over
komisch,funny
paris,Paris
super,great
sieben,seven
erinnere,remember
lhrer,your
ne,no
rufe,shout
bier,beer
augenblick,moment
herum,hereabouts
kalt,cold
wunderbar,Marvelous
großartig,Great
wahl,choice
auge,eye
fahr,drive
konnten,could
länger,longer
m,m
johnny,johnny
tisch,table
rum,rum
antwort,reply
jedem,each
david,David
arme,poor
umgebracht,killed
schlimm,terrible
verheiratet,married
steh,stand
anrufen,call up
worte,words
möchtest,want
vorsicht,Attention
hilf,help
bezahlt,paid
voller,full of
links,Left
sekunden,seconds
werdet,will
wärst,would be
liegen,lie
fühlen,feel
nochmal,once again
armee,army
bitten,request
gestorben,died
finger,finger
meinung,opinion
nimmt,takes
zahlen,to count
sicherheit,safety
verkaufen,to sell
gesprochen,spoken
wozu,for what reason
müde,weary
seele,soul
welcher,which one
schießen,shoot
michael,Michael
arbeite,work
sitzt,sits
to,to
sonne,Sun
damen,ladies
laß,let
bezahlen,pay
selber,myself
reise,travel
team,team
sobald,as soon as
meister,master
majestät,majesty
anfang,beginning
fangen,to catch
außerdem,in addition to that
geschrieben,written
sex,sex
hole,get
kriegt,gets
yeah,yeah
magst,like
laut,noisy
klappe,flap
amerika,America
nahm,took
niemanden,nobody
gefährlich,dangerous
r,right
mörder,murderer
gewinnen,to win
gedanken,thoughts
obwohl,although
monat,month
mike,Mike
arbeitet,is working
herrn,Mr
behalten,to keep
legen,lay
bob,bob
person,person
herzen,hearts
brief,letter
präsident,president
rechts,to the right
anfangen,begin
schluss,Enough
hübsch,pretty
don,Don
gewonnen,won
wisst,know
versprochen,promised
chef,boss
findest,find
perfekt,Perfect
schlagen,hit
tatsächlich,indeed
pferd,horse
dagegen,against it
erfahren,Experienced
monsieur,monsieur
mord,murder
paul,paul
nähe,vicinity
nötig,necessary
wow,Wow
aller,all
offen,open
wach,awake
singen,to sing
beispiel,example
ais,ais
sowieso,anyway
jedenfalls,in any case
schwein,pig
bank,Bank
ziel,target
klein,small
verdient,earned
band,tape
geist,ghost
ma,mom
max,Max
neu,New
schreit,cries
anwalt,attorney
monaten,months
show,show
heim,home
führt,leads
lauf,run
ehre,honor
unterwegs,on road
gelernt,learned
minute,minute
reich,rich
wunder,wonder
opfer,victim
erzähl,tell
bekannt,known
hau,hau
haut,skin
weder,neither
rücken,move
bekommt,receives
peter,Peter
jemals,ever
partner,partner
h,H
zieht,pulls
nase,nose
gefahr,danger
regeln,regulate
absolut,absolutely
tief,deep
flugzeug,airplane
befehl,command
geschickt,sent
wette,bet
nennt,names
jung,young
sucht,seeks
gehabt,had
geboren,born
rolle,role
l,l
schönen,beautiful
leg,leg
holt,get
erinnerst,remember
heiße,name is
kraft,power
lhrem,your
lacht,laughs
bar,bar
richtung,direction
tasche,bag
schlag,blow
professor,professor
steckt,plugged
ständig,constant
erwischt,Caught
stell,deputy
schrecklich,dreadful
verschwinde,go away
weise,wise
schlimmer,worse
ließ,let
frieden,peace
verliebt,amorous
bleibe,stay
ehe,marriage
kriege,get
näher,closer
gelesen,had read
dahin,there
wofür,for what
dauert,lasts
neben,Next
gold,gold
raum,space
benutzt,used
welches,which
regierung,government
fährt,moves
volk,people
fernsehen,watch TV
zeiten,times
toten,kill
achtung,Danger
karte,map
hunger,hunger
diesmal,this time
preis,price
benutzen,to use
scheisse,Shit
hilft,helps
geschenk,gift
hoffentlich,hopefully
manche,some
ansehen,look at
kriegst,get
lage,position
wünschte,wished
fehlt,is missing
willen,sake
bescheid,notice
heiß,hot
kamera,camera
gleiche,same
ruft,calls
unfall,accident
ans,to
bullen,cops
szene,scene
gericht,court
gerettet,saved
schlaf,sleep
schicksal,fate
gesetz,law
fürs,for
d,i.e
verkauft,sold
bewegen,move
leiche,corpse
lm,lm
jesus,Jesus
soldaten,soldiers
geburtstag,date of birth
lebe,live
darfst,may
ewig,eternal
ben,ben
schade,a pity
seh,see
witz,joke
müsste,would have to
it,it
erwarten,expect
